Metabolite,pos_in_ppm,couple_code,J_constant,no_of_protons,overwrite_pos,overwrite_var,overwrite_truncation,Include_multiplet
3-Chlorotyrosine,4.1,"1,1","7.57,5.42",1,n,n,n,1
3-Chlorotyrosine,6.9,1,8.26,1,n,n,n,1
3-Chlorotyrosine,7.02,"1,1","8.27,2.09",2,n,n,n,1
3-Chlorotyrosine,7.2,1,2.15,1,n,n,n,1
3-Deoxyarabinohexonic acid,3.75,"1,1","11.33,2.92",1,n,n,n,1
3-Deoxyarabinohexonic acid,3.8,"1,1,1","9.93,5.69,2.92",1,n,n,n,1
3-Deoxyarabinohexonic acid,4.17,"1,1","9.71,3.33",1,n,n,n,1
3-Furoic acid,6.67,1,1.04,1,n,n,n,1
3-Furoic acid,7.52,2,1.65,1,n,n,n,1
3-Furoic acid,7.93,0,0,1,n,n,n,1
3-Hexanone,0.88,2,7.44,2,n,n,n,1
3-Hexanone,1.005,2,7.33,2,n,n,n,1
3-Hexanone,1.563,"1,3","14.75,7.36",1,n,n,n,1
3-Hexanone,2.522,2,7.32,2,n,n,n,1
3-Hexanone,2.566,3,7.32,2,n,n,n,1
3-Hydroxybutyric acid,1.2,1,6.26,3,n,n,n,1
3-Hydroxydodecanedioic acid,2.18,2,7.48,2,n,n,n,1
3-Hydroxymandelic acid,4.93,0,,1,n,n,n,1
3-Hydroxymandelic acid,6.87,"1,1,1","8.14,2.53,0.83",1,n,n,n,1
3-Hydroxymandelic acid,6.92,2,1.98,1,n,n,n,1
3-Hydroxymandelic acid,6.98,1,7.65,1,n,n,n,1
3-Hydroxymandelic acid,7.29,2,7.87,1,n,n,n,1
3-Hydroxymethylglutaric acid,1.31,0,,3,n,n,n,1
3-Hydroxyphenylacetic acid,3.48,0,,2,n,n,n,1
3-Hydroxyphenylacetic acid,6.86,"1,1","7.55,0.41",1,n,n,n,1
3-Hydroxyphenylacetic acid,7.26,2,7.75,1,n,n,n,1
3-Hydroxysuberic acid,2.199,2,7.5,2,n,n,n,1
3-Indolebutyric acid,1.99,4,7.43,2,n,n,n,1
3-Indolebutyric acid,2.34,2,7.37,2,n,n,n,1
3-Indolebutyric acid,2.79,2,7.46,2,n,n,n,1
3-Indolebutyric acid,7.01,0,,1,n,n,n,1
3-Indolebutyric acid,7.31,1,8.09,1,n,n,n,1
